@relation spanish

@attribute one {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute two {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute thr {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute fou {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute fiv {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute six {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute sev {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute eig {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute nin {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute ten {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute ele {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute twe {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}

@attribute class {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}


@data
a,d,o,p,t,_,_,_,_,_,_,_,o
a,d,u,l,t,_,_,_,_,_,_,_,u
a,d,u,l,t,e,r,y,_,_,_,_,u
a,d,v,a,n,c,e,_,_,_,_,_,r
a,d,v,a,n,c,e,d,_,_,_,_,a
a,d,v,a,n,t,a,g,e,_,_,_,n
a,d,v,e,n,t,u,r,e,_,_,_,e
a,d,v,e,r,t,i,s,e,m,e,n,u
a,d,v,i,c,e,_,_,_,_,_,_,n
a,d,v,i,s,e,_,_,_,_,_,_,o
a,e,r,i,a,l,_,_,_,_,_,_,t
a,f,f,e,c,t,_,_,_,_,_,_,e
a,f,f,e,c,t,i,o,n,_,_,_,r
a,f,f,o,r,d,_,_,_,_,_,_,d
a,f,r,a,i,d,_,_,_,_,_,_,u
a,f,r,a,i,d,_,_,_,_,_,_,n
a,f,t,e,r,_,_,_,_,_,_,_,s
a,f,t,e,r,_,_,_,_,_,_,_,s
a,f,t,e,r,n,o,o,n,_,_,_,r
a,f,t,e,r,w,a,r,d,s,_,_,s
a,g,a,i,n,_,_,_,_,_,_,_,r
a,g,a,i,n,s,t,_,_,_,_,_,n
a,g,e,_,_,_,_,_,_,_,_,_,a
a,g,e,n,c,y,_,_,_,_,_,_,e
a,g,e,n,t,_,_,_,_,_,_,_,e
a,g,g,r,e,s,s,i,v,e,_,_,r
a,g,o,_,_,_,_,_,_,_,_,_,c
a,g,r,e,e,_,_,_,_,_,_,_,t
a,i,m,_,_,_,_,_,_,_,_,_,j
a,i,r,_,_,_,_,_,_,_,_,_,r
a,i,r,_,b,a,s,e,_,_,_,_,s
a,i,r,_,f,i,l,t,e,r,_,_,l
a,i,r,_,f,o,r,c,e,_,_,_,e
a,i,r,_,m,a,i,l,_,_,_,_,r
a,i,r,l,i,n,e,_,_,_,_,_,n
a,i,r,p,l,a,n,e,_,_,_,_,i
a,i,r,p,o,r,t,_,_,_,_,_,r
a,i,s,l,e,_,_,_,_,_,_,_,s
a,l,a,r,m,_,_,_,_,_,_,_,a
a,l,a,r,m,_,c,l,o,c,k,_,s
a,l,b,u,m,_,_,_,_,_,_,_,b
a,l,c,o,h,o,l,_,_,_,_,_,c
a,l,c,o,h,o,l,i,c,_,_,_,c
a,l,g,e,b,r,a,_,_,_,_,_,g
a,l,i,b,i,_,_,_,_,_,_,_,a
a,l,i,e,n,_,_,_,_,_,_,_,t
a,l,i,v,e,_,_,_,_,_,_,_,v
a,l,l,_,_,_,_,_,_,_,_,_,d
a,l,l,_,r,i,g,h,t,_,_,_,e
a,l,l,e,r,g,i,c,_,t,o,_,0
a,l,l,e,r,g,y,_,_,_,_,_,e
a,l,l,i,g,a,t,o,r,_,_,_,i
a,l,l,o,w,_,_,_,_,_,_,_,r
a,l,m,o,n,d,s,_,_,_,_,_,m
a,l,m,o,s,t,_,_,_,_,_,_,s
a,l,o,n,e,_,_,_,_,_,_,_,l
a,l,o,u,d,_,_,_,_,_,_,_,_
a,l,p,h,a,b,e,t,_,_,_,_,f
a,l,r,e,a,d,y,_,_,_,_,_,_
a,l,r,i,g,h,t,_,_,_,_,_,e
a,l,s,o,_,_,_,_,_,_,_,_,m
a,l,t,h,o,u,g,h,_,_,_,_,n
a,l,w,a,y,s,_,_,_,_,_,_,e
a,m,b,a,s,s,a,d,o,r,_,_,b
a,m,b,i,t,i,o,n,_,_,_,_,b
a,m,b,i,t,i,o,u,s,_,_,_,b
a,m,b,u,l,a,n,c,e,_,_,_,b
a,m,e,r,i,c,a,n,_,_,_,_,e
a,m,o,u,n,t,_,_,_,_,_,_,n
a,m,u,s,i,n,g,_,_,_,_,_,v
a,n,a,l,y,z,e,_,_,_,_,_,a
a,n,c,e,s,t,o,r,s,_,_,_,t
a,n,c,h,o,r,_,_,_,_,_,_,c
a,n,d,_,_,_,_,_,_,_,_,_,_
a,n,g,e,l,_,_,_,_,_,_,_,g
a,n,g,l,e,_,_,_,_,_,_,_,g
a,n,g,r,y,_,_,_,_,_,_,_,l
a,n,i,m,a,l,_,_,_,_,_,_,i
a,n,k,l,e,_,_,_,_,_,_,_,b
a,n,n,o,u,n,c,e,_,_,_,_,u
a,n,n,o,y,_,_,_,_,_,_,_,l
a,n,n,o,y,i,n,g,_,_,_,_,s
a,n,s,w,e,r,_,_,_,_,_,_,s
a,n,s,w,e,r,_,_,_,_,_,_,s
a,n,s,w,e,r,i,n,g,_,m,a,n
a,n,t,_,_,_,_,_,_,_,_,_,r
a,n,t,e,n,n,a,_,_,_,_,_,t
a,n,t,l,e,r,_,_,_,_,_,_,e
a,n,y,_,_,_,_,_,_,_,_,_,a
a,n,y,b,o,d,y,_,_,_,_,_,a
a,n,y,t,h,i,n,g,_,_,_,_,a
a,n,y,w,a,y,_,_,_,_,_,_,_
a,n,y,w,h,e,r,e,_,_,_,_,n
a,p,a,r,t,m,e,n,t,_,_,_,a
a,p,a,r,t,m,e,n,t,_,b,u,a
a,p,p,e,a,r,_,_,_,_,_,_,a
a,p,p,e,a,r,a,n,c,e,_,_,a
a,p,p,e,t,i,t,e,_,_,_,_,e
a,p,p,e,t,i,z,e,r,_,_,_,e
a,p,p,l,a,u,d,_,_,_,_,_,l
a,p,p,l,e,_,_,_,_,_,_,_,n
a,p,p,l,i,c,a,t,i,o,n,_,l
a,p,p,l,y,_,_,_,_,_,_,_,l
a,p,p,o,i,n,t,m,e,n,t,_,t
a,p,p,r,e,n,t,i,c,e,_,_,r
a,p,r,i,c,o,t,_,_,_,_,_,b
a,p,r,i,l,_,_,_,_,_,_,_,r
a,r,a,b,_,_,_,_,_,_,_,_,a
a,r,a,b,i,c,_,_,_,_,_,_,a
a,r,c,h,i,t,e,c,t,_,_,_,q
a,r,g,e,n,t,i,n,a,_,_,_,g
a,r,m,_,_,_,_,_,_,_,_,_,a
a,r,m,c,h,a,i,r,_,_,_,_,t
a,r,m,r,e,s,t,_,_,_,_,_,s
a,r,m,s,_,_,_,_,_,_,_,_,m
a,r,m,y,_,_,_,_,_,_,_,_,0
a,r,o,u,n,d,_,_,_,_,_,_,r
a,r,r,a,n,g,e,_,_,_,_,_,g
a,r,r,e,s,t,_,_,_,_,_,_,t
a,r,r,i,v,a,l,_,_,_,_,_,e
a,r,r,i,v,e,_,_,_,_,_,_,e
a,r,r,o,g,a,n,t,_,_,_,_,r
a,r,t,_,_,_,_,_,_,_,_,_,t
a,r,t,_,g,a,l,l,e,r,y,_,l
a,r,t,i,c,h,o,k,e,_,_,_,c
a,s,_,_,_,_,_,_,_,_,_,_,m
a,s,_,_,_,_,_,_,_,_,_,_,m
a,s,_,_,_,_,_,_,_,_,_,_,n
a,s,_,m,u,c,h,_,_,_,_,_,n
a,s,h,a,m,e,d,_,_,_,_,_,e
a,s,h,t,r,a,y,_,_,_,_,_,n
a,s,k,_,_,_,_,_,_,_,_,_,e
a,s,p,a,r,a,g,u,s,_,_,_,p
a,s,s,_,_,_,_,_,_,_,_,_,n
a,s,s,e,t,_,_,_,_,_,_,_,n
a,s,s,h,o,l,e,_,_,_,_,_,i
a,s,t,e,r,i,s,k,_,_,_,_,t
a,s,t,e,r,o,i,d,_,_,_,_,t
a,s,t,h,m,a,_,_,_,_,_,_,m
a,s,t,r,o,n,a,u,t,_,_,_,t
a,s,t,r,o,n,a,u,t,_,_,_,t
a,t,_,_,_,_,_,_,_,_,_,_,_
a,t,h,l,e,t,e,_,_,_,_,_,p
a,t,h,l,e,t,e,_,_,_,_,_,p
a,t,h,l,e,t,i,c,_,s,u,p,s
a,t,m,_,_,_,_,_,_,_,_,_,j
a,t,t,a,c,h,_,_,_,_,_,_,j
a,t,t,e,n,t,i,o,n,_,_,_,e
a,t,t,i,t,u,d,e,_,_,_,_,t
a,t,t,o,r,n,e,y,_,_,_,_,o
a,t,t,r,a,c,t,i,v,e,_,_,a
a,u,g,u,s,t,_,_,_,_,_,_,o
a,u,n,t,_,_,_,_,_,_,_,_,a
a,u,s,t,r,a,l,i,a,_,_,_,s
a,u,t,h,o,r,_,_,_,_,_,_,t
a,u,t,h,o,r,i,z,a,t,i,o,t
a,u,t,u,m,n,_,_,_,_,_,_,o
a,v,a,i,l,a,b,l,e,_,_,_,s
a,v,e,n,u,e,_,_,_,_,_,_,e
a,v,o,c,a,d,o,_,_,_,_,_,u
a,v,o,i,d,_,_,_,_,_,_,_,i
a,w,e,s,o,m,e,_,_,_,_,_,p
a,w,f,u,l,_,_,_,_,_,_,_,p
a,x,_,_,_,_,_,_,_,_,_,_,c
b,a,b,y,_,_,_,_,_,_,_,_,b
b,a,b,y,s,i,t,t,e,r,_,_,n
b,a,c,k,_,_,_,_,_,_,_,_,r
b,a,c,k,_,_,_,_,_,_,_,_,p
b,a,c,k,p,a,c,k,_,_,_,_,c
b,a,c,k,y,a,r,d,_,_,_,_,r
b,a,c,o,n,_,_,_,_,_,_,_,c
b,a,d,_,_,_,_,_,_,_,_,_,l
b,a,d,_,w,e,a,t,h,e,r,_,l
b,a,d,g,e,_,_,_,_,_,_,_,s
b,a,d,l,y,_,_,_,_,_,_,_,l
b,a,g,_,_,_,_,_,_,_,_,_,l
b,a,g,g,a,g,e,_,_,_,_,_,u
b,a,k,e,_,_,_,_,_,_,_,_,c
b,a,k,e,r,s,_,_,_,_,_,_,n
b,a,k,e,r,y,_,_,_,_,_,_,n
b,a,l,c,o,n,y,_,_,_,_,_,l
b,a,l,d,_,_,_,_,_,_,_,_,l
b,a,l,l,_,_,_,_,_,_,_,_,l
b,a,l,l,o,o,n,_,_,_,_,_,o
b,a,n,a,n,a,_,_,_,_,_,_,1
b,a,n,d,_,_,_,_,_,_,_,_,u
b,a,n,d,_,a,i,d,_,_,_,_,r
b,a,n,d,a,g,e,_,_,_,_,_,n
b,a,n,k,_,_,_,_,_,_,_,_,n
b,a,n,k,_,s,t,a,t,e,m,e,t
b,a,n,k,e,r,_,_,_,_,_,_,n
b,a,r,_,_,_,_,_,_,_,_,_,r
b,a,r,_,_,_,_,_,_,_,_,_,r
b,a,r,b,e,r,_,_,_,_,_,_,r
b,a,r,e,f,o,o,t,_,_,_,_,s
b,a,r,e,l,y,_,_,_,_,_,_,e
b,a,r,g,a,i,n,_,_,_,_,_,n
b,a,r,g,a,i,n,_,_,_,_,_,g
b,a,r,k,_,_,_,_,_,_,_,_,d
b,a,r,r,e,l,_,_,_,_,_,_,n
b,a,r,r,e,n,_,_,_,_,_,_,r
b,a,s,e,b,a,l,l,_,_,_,_,i
b,a,s,i,c,_,_,_,_,_,_,_,s
b,a,s,i,c,a,l,l,y,_,_,_,_
b,a,s,k,e,t,_,_,_,_,_,_,s
b,a,s,k,e,t,b,a,l,l,_,_,l
b,a,s,k,e,t,b,a,l,l,_,h,a
b,a,t,_,_,_,_,_,_,_,_,_,r
b,a,t,_,_,_,_,_,_,_,_,_,_
b,a,t,h,_,_,_,_,_,_,_,_,2
b,a,t,h,i,n,g,_,s,u,i,t,_
b,a,t,h,r,o,o,m,_,_,_,_,a
b,a,t,h,t,u,b,_,_,_,_,_,2
b,a,t,t,e,r,y,_,_,_,_,_,l
b,a,y,_,_,_,_,_,_,_,_,_,h
b,e,_,_,_,_,_,_,_,_,_,_,r
b,e,a,c,h,_,_,_,_,_,_,_,a
b,e,a,k,_,_,_,_,_,_,_,_,c
b,e,a,n,s,_,_,_,_,_,_,_,b
b,e,a,n,s,_,_,_,_,_,_,_,i
b,e,a,n,s,_,_,_,_,_,_,_,i
b,e,a,r,_,_,_,_,_,_,_,_,o
b,e,a,r,_,_,_,_,_,_,_,_,p
b,e,a,r,d,_,_,_,_,_,_,_,r
b,e,a,t,_,_,_,_,_,_,_,_,l
b,e,a,u,t,i,f,u,l,_,_,_,l
b,e,a,u,t,y,_,_,_,_,_,_,l
b,e,a,v,e,r,_,_,_,_,_,_,s
b,e,c,a,u,s,e,_,_,_,_,_,r
b,e,c,o,m,e,_,_,_,_,_,_,c
b,e,d,_,_,_,_,_,_,_,_,_,m
b,e,d,r,o,o,m,_,_,_,_,_,r
b,e,d,t,i,m,e,_,_,_,_,_,r
b,e,e,_,_,_,_,_,_,_,_,_,e
b,e,e,f,_,_,_,_,_,_,_,_,r
b,e,e,r,_,_,_,_,_,_,_,_,r
b,e,e,t,_,_,_,_,_,_,_,_,m
b,e,e,t,l,e,_,_,_,_,_,_,c
b,e,f,o,r,e,_,_,_,_,_,_,t
b,e,g,_,_,_,_,_,_,_,_,_,n
b,e,g,g,a,r,_,_,_,_,_,_,n
b,e,g,i,n,_,_,_,_,_,_,_,p
b,e,g,i,n,n,e,r,_,_,_,_,i
b,e,g,i,n,n,i,n,g,_,_,_,m
b,e,h,a,v,e,_,_,_,_,_,_,m
b,e,h,a,v,i,o,r,_,_,_,_,m
b,e,h,i,n,d,_,_,_,_,_,_,t
b,e,l,i,e,f,_,_,_,_,_,_,e
b,e,l,i,e,v,e,_,_,_,_,_,e
b,e,l,i,e,v,e,r,_,_,_,_,e
b,e,l,l,_,_,_,_,_,_,_,_,m
b,e,l,o,n,g,_,t,o,_,_,_,r
b,e,l,o,w,_,_,_,_,_,_,_,b
b,e,l,t,_,_,_,_,_,_,_,_,n
b,e,n,c,h,_,_,_,_,_,_,_,n
b,e,n,d,_,_,_,_,_,_,_,_,b
b,e,r,e,t,_,_,_,_,_,_,_,i
b,e,s,i,d,e,_,_,_,_,_,_,_
b,e,s,i,d,e,s,_,_,_,_,_,e
b,e,s,t,_,_,_,_,_,_,_,_,j
b,e,t,_,_,_,_,_,_,_,_,_,o
b,e,t,r,a,y,_,_,_,_,_,_,a
b,e,t,t,e,r,_,_,_,_,_,_,j
b,e,t,w,e,e,n,_,_,_,_,_,t
b,e,v,e,r,a,g,e,s,_,_,_,b
b,i,b,_,_,_,_,_,_,_,_,_,b
b,i,b,l,e,_,_,_,_,_,_,_,b
b,i,c,y,c,l,e,_,_,_,_,_,c
b,i,g,_,_,_,_,_,_,_,_,_,a
b,i,l,l,_,_,_,_,_,_,_,_,e
b,i,n,_,_,_,_,_,_,_,_,_,b
b,i,n,o,c,u,l,a,r,s,_,_,i
b,i,r,d,_,_,_,_,_,_,_,_,j
b,i,r,t,h,_,_,_,_,_,_,_,c
b,i,r,t,h,d,a,y,_,_,_,_,m
b,i,r,t,h,d,a,y,_,c,a,r,r
b,i,s,c,u,i,t,_,_,_,_,_,l
b,i,s,o,n,_,_,_,_,_,_,_,s
b,i,t,_,_,_,_,_,_,_,_,_,_
b,i,t,c,h,_,_,_,_,_,_,_,r
b,i,t,e,_,_,_,_,_,_,_,_,r
b,i,t,e,_,_,_,_,_,_,_,_,r
b,i,t,t,e,r,_,_,_,_,_,_,a
b,l,a,c,k,_,_,_,_,_,_,_,g
b,l,a,c,k,_,e,y,e,_,_,_,o
b,l,a,c,k,_,h,o,l,e,_,_,u
b,l,a,c,k,b,e,r,r,y,_,_,r
b,l,a,c,k,m,a,i,l,_,_,_,a
b,l,a,d,e,_,_,_,_,_,_,_,c
b,l,a,m,e,_,_,_,_,_,_,_,l
b,l,a,n,k,e,t,_,_,_,_,_,n
b,l,e,a,c,h,_,_,_,_,_,_,j
b,l,e,e,d,_,_,_,_,_,_,_,n
b,l,e,n,d,e,r,_,_,_,_,_,c
b,l,i,n,d,_,_,_,_,_,_,_,e
b,l,o,c,k,e,d,_,_,_,_,_,r
b,l,o,c,k,s,_,_,_,_,_,_,o
b,l,o,o,d,_,_,_,_,_,_,_,n
b,l,o,o,d,_,g,r,o,u,p,_,u
b,l,o,u,s,e,_,_,_,_,_,_,u
b,l,u,e,_,_,_,_,_,_,_,_,u
b,o,a,s,t,_,_,_,_,_,_,_,c
b,o,a,t,_,_,_,_,_,_,_,_,r
b,o,d,y,_,_,_,_,_,_,_,_,e
b,o,d,y,g,u,a,r,d,_,_,_,a
b,o,i,l,_,_,_,_,_,_,_,_,r
b,o,i,l,e,d,_,e,g,g,s,_,e
b,o,l,i,v,i,a,_,_,_,_,_,l
b,o,m,b,_,_,_,_,_,_,_,_,m
b,o,m,b,_,_,_,_,_,_,_,_,m
b,o,n,e,_,_,_,_,_,_,_,_,e
b,o,o,k,_,_,_,_,_,_,_,_,b
b,o,o,k,_,_,_,_,_,_,_,_,s
b,o,o,k,c,a,s,e,_,_,_,_,t
b,o,o,k,s,t,o,r,e,_,_,_,b
b,o,o,t,s,_,_,_,_,_,_,_,t
b,o,r,d,e,r,_,_,_,_,_,_,r
b,o,r,e,d,_,_,_,_,_,_,_,u
b,o,r,i,n,g,_,_,_,_,_,_,u
b,o,r,r,o,w,_,_,_,_,_,_,d
b,o,s,s,_,_,_,_,_,_,_,_,f
b,o,t,a,n,y,_,_,_,_,_,_,t
b,o,t,h,_,_,_,_,_,_,_,_,b
b,o,t,h,e,r,_,_,_,_,_,_,l
b,o,t,t,l,e,_,_,_,_,_,_,o
b,o,w,l,_,_,_,_,_,_,_,_,c
b,o,x,_,_,_,_,_,_,_,_,_,j
b,o,x,i,n,g,_,_,_,_,_,_,x
b,o,y,_,_,_,_,_,_,_,_,_,i
b,o,y,f,r,i,e,n,d,_,_,_,v
b,r,a,_,_,_,_,_,_,_,_,_,j
b,r,a,c,e,l,e,t,_,_,_,_,l
b,r,a,c,k,e,t,s,_,_,_,_,r
b,r,a,i,n,_,_,_,_,_,_,_,r
b,r,a,k,e,_,_,_,_,_,_,_,e
b,r,a,n,d,_,_,_,_,_,_,_,r
b,r,a,v,e,_,_,_,_,_,_,_,l
b,r,e,a,d,_,_,_,_,_,_,_,n
b,r,e,a,d,_,s,h,o,p,_,_,n
b,r,e,a,k,_,_,_,_,_,_,_,m
b,r,e,a,k,a,b,l,e,_,_,_,1
b,r,e,a,k,d,o,w,n,_,_,_,e
b,r,e,a,k,f,a,s,t,_,_,_,s
b,r,e,a,s,t,_,_,_,_,_,_,n
b,r,e,a,t,h,_,_,_,_,_,_,s
b,r,e,a,t,h,e,_,_,_,_,_,s
b,r,e,e,z,e,_,_,_,_,_,_,a
b,r,i,c,k,s,_,_,_,_,_,_,d
b,r,i,d,e,_,_,_,_,_,_,_,v
b,r,i,d,e,g,r,o,o,m,_,_,v
b,r,i,d,g,e,_,_,_,_,_,_,e
b,r,i,e,f,c,a,s,e,_,_,_,r
b,r,i,n,g,_,_,_,_,_,_,_,a
b,r,i,t,a,i,n,_,_,_,_,_,a
b,r,i,t,i,s,h,_,_,_,_,_,i
b,r,o,a,d,_,_,_,_,_,_,_,c
b,r,o,c,c,o,l,i,_,_,_,_,3
b,r,o,c,h,u,r,e,_,_,_,_,l
b,r,o,k,e,_,_,_,_,_,_,_,r
b,r,o,k,e,n,_,_,_,_,_,_,t
b,r,o,o,m,_,_,_,_,_,_,_,c
b,r,o,t,h,e,r,_,_,_,_,_,r
b,r,o,w,n,_,_,_,_,_,_,_,r
b,r,u,i,s,e,s,_,_,_,_,_,l
b,r,u,s,h,_,_,_,_,_,_,_,p
b,u,c,k,e,t,_,_,_,_,_,_,b
b,u,d,_,_,_,_,_,_,_,_,_,t
b,u,d,d,y,_,_,_,_,_,_,_,i
b,u,d,g,e,t,_,_,_,_,_,_,e
b,u,f,f,e,t,_,_,_,_,_,_,f
b,u,g,_,_,_,_,_,_,_,_,_,c
b,u,i,l,d,_,_,_,_,_,_,_,n
b,u,i,l,d,i,n,g,_,_,_,_,i
b,u,l,b,_,_,_,_,_,_,_,_,m
b,u,l,l,_,_,_,_,_,_,_,_,r
b,u,l,l,e,t,_,_,_,_,_,_,l
b,u,l,l,f,i,g,h,t,e,r,_,r
b,u,l,l,s,h,i,t,_,_,_,_,l
b,u,r,d,e,n,_,_,_,_,_,_,r
b,u,r,n,_,_,_,_,_,_,_,_,e
b,u,r,n,_,_,_,_,_,_,_,_,e
b,u,r,p,_,_,_,_,_,_,_,_,u
b,u,s,_,_,_,_,_,_,_,_,_,t
b,u,s,_,s,t,o,p,_,_,_,_,r
b,u,s,h,_,_,_,_,_,_,_,_,b
b,u,s,i,n,e,s,s,_,_,_,_,g
b,u,s,i,n,e,s,s,_,m,a,n,m
b,u,s,y,_,_,_,_,_,_,_,_,u
b,u,t,_,_,_,_,_,_,_,_,_,r
b,u,t,c,h,e,r,s,_,_,_,_,r
b,u,t,t,_,_,_,_,_,_,_,_,a
b,u,t,t,e,r,_,_,_,_,_,_,n
b,u,t,t,e,r,f,l,y,_,_,_,r
b,u,t,t,o,c,k,s,_,_,_,_,l
b,u,t,t,o,n,_,_,_,_,_,_,t
b,u,y,_,_,_,_,_,_,_,_,_,m
b,y,_,_,_,_,_,_,_,_,_,_,_
b,y,_,_,_,_,_,_,_,_,_,_,r
b,y,_,b,i,c,y,c,l,e,_,_,_
b,y,_,b,o,a,t,_,_,_,_,_,_
b,y,_,b,u,s,_,_,_,_,_,_,_
b,y,_,c,a,r,_,_,_,_,_,_,_
b,y,_,m,o,t,o,r,c,y,c,l,_
b,y,_,p,l,a,n,e,_,_,_,_,_
b,y,_,s,u,b,w,a,y,_,_,_,_
b,y,_,t,a,x,i,_,_,_,_,_,_
b,y,_,t,r,a,i,n,_,_,_,_,_
b,y,e,_,_,_,_,_,_,_,_,_,i
c,a,b,b,a,g,e,_,_,_,_,_,l
c,a,b,i,n,e,t,_,_,_,_,_,b
c,a,b,l,e,_,_,_,_,_,_,_,b
c,a,c,t,u,s,_,_,_,_,_,_,c
c,a,f,0,_,_,_,_,_,_,_,_,f
c,a,g,e,_,_,_,_,_,_,_,_,u
c,a,k,e,_,_,_,_,_,_,_,_,s
c,a,k,e,_,s,h,o,p,_,_,_,s
c,a,l,c,u,l,a,t,o,r,_,_,l
c,a,l,f,_,_,_,_,_,_,_,_,c
c,a,l,l,_,_,_,_,_,_,_,_,a
c,a,l,l,_,_,_,_,_,_,_,_,a
c,a,l,m,_,_,_,_,_,_,_,_,l
c,a,l,m,_,_,_,_,_,_,_,_,l
c,a,m,e,l,_,_,_,_,_,_,_,m
